clo: 
NODE 	IP:PORT               	UPTIME                	TX                    	RX                    
51   	83.242.180.46:53819   	91:32:57              	73788                 	84556                 
52   	217.118.76.171:32387  	89:13:41              	1731388               	1240124               
54   	213.87.135.207:2608   	2:34:48               	36444                 	36348                 
57   	213.87.131.55:61196   	25:15:18              	171724                	179804                
58   	217.118.76.135:27104  	112:11:18             	1344396               	1268428               
61   	195.222.162.46:15844  	133:08:58             	243196                	307324                
69   	195.222.162.42:11475  	58:19:58              	1010236               	976876                
70   	217.118.95.189:17527  	18:12:38              	286540                	257164                
75   	217.118.76.126:141    	146:24:36             	1713788               	1344684               
77   	217.118.76.92:62126   	139:56:09             	1143564               	1208508               
79   	217.118.76.42:18529   	116:49:28             	56988                 	57324                 
81   	87.245.168.10:5912    	44:38:37              	546892                	476316                
83   	217.118.76.145:3045   	59:50:57              	43516                 	48780                 
84   	217.118.66.53:34245   	104:35:04             	57964                 	60460                 
85   	217.118.76.116:11144  	86:55:19              	55340                 	60076                 
89   	217.118.76.72:44416   	16:46:16              	76556                 	76140                 
96   	195.34.193.229:5380   	1:19:57               	3116                  	2940                  
101  	217.66.152.27:61474   	8:28:13               	172268                	128684                
111  	81.18.148.66:41244    	25:01:42              	807580                	752860                
112  	217.118.93.114:54628  	103:59:33             	1586012               	1464476               
113  	213.87.133.215:35119  	11:40:56              	144940                	145180                
115  	217.118.95.164:42079  	18:44:36              	300540                	270780                
117  	213.87.140.52:38121   	0:21:59               	4524                  	4652                  
119  	217.118.95.141:32331  	24:38:32              	306716                	305964                
121  	213.87.135.112:2736   	2:57:32               	23004                 	16620                 
123  	195.151.220.81:17917  	146:24:58             	1346732               	1251468               
128  	217.118.76.242:18572  	116:47:06             	59596                 	60380                 
131  	95.153.161.126:51961  	12:50:04              	227900                	180620                
133  	85.26.183.134:18314   	99:23:27              	1547900               	1397292               
137  	85.115.248.180:11418  	26:53:04              	412508                	362908                
139  	217.118.76.243:37445  	24:26:52              	521020                	430380                
141  	217.66.152.15:33593   	10:25:27              	146412                	93596                 
145  	213.87.129.223:28767  	6:50:53               	128620                	98316                 
147  	217.118.66.61:2539    	104:20:43             	1425452               	1427836               
148  	80.83.238.101:49302   	4:16:19               	62620                 	68284                 
149  	217.118.76.177:62647  	91:37:10             
